Comuna,year,Gasto por Matriculado Mun.,Eficiencia,Matricula Mun.,SIMCE mun.-Mat,Eva. Doc,Pobreza
VALPARAÍSO,2007,563.10114,0.81619471,30598,215.85846,0.57471263,15
VALPARAÍSO,2008,689.91718,0.30244523,28875,220.56123,1.1409943,15
VALPARAÍSO,2009,739.01825,0.68116456,27157,219.98376,1.1619463,15
VALPARAÍSO,2010,923.86206,0.39986908,25572,225.38799,1.0845987,21
VALPARAÍSO,2011,1114.2782,0.55544907,24614,229.86583,1.3322884,21
VALPARAÍSO,2012,1278.1262,0.41077673,22126,226.02312,1.4740108,21
VALPARAÍSO,2013,1389.976,0.63266945,21254,229.50238,2.0610688,16
VALPARAÍSO,2014,1465.8301,0.55748224,20967,228.40114,2.0164301,16
VALPARAÍSO,2015,1668.9508,0.57374704,20346,230.24181,3.6284471,17
VALPARAÍSO,2016,1842.39,0.7021113,19364,234.86015,8.1300812,17
CASABLANCA,2007,776.8949,0.61170477,2931,230.23637,2.919708,15
CASABLANCA,2008,890.09235,0.29589072,2762,237.7171,3.7037036,15
CASABLANCA,2009,985.88477,0.53955638,2647,234.09637,1.9230769,15
CASABLANCA,2010,1069.6471,0.44528449,2496,249.58542,2.0979021,13
CASABLANCA,2011,1241.4608,0.52443582,2320,230.02664,1.5037594,13
CASABLANCA,2012,1318.9004,0.52369541,2269,258.34134,1.4814814,13
CASABLANCA,2013,1474.9514,0.60673106,2287,234.6682,5.9602647,18
CASABLANCA,2014,1697.7665,0.46181923,2162,249.69859,7.9754601,18
CASABLANCA,2015,1917.7407,0.57859796,2102,240.01869,11.949685,20
CASABLANCA,2016,2152.2236,0.63857156,2058,258.75388,16.86747,20
CONCÓN,2007,637.78918,0.75043052,1921,226.94669,3.1578948,13
CONCÓN,2008,743.78638,0.27252492,1863,227.25664,5.6179776,13
CONCÓN,2009,987.68695,0.5062409,1741,226.28064,2,13
CONCÓN,2010,1052.403,0.35582998,1613,232.20033,3.7037036,9
CONCÓN,2011,1207.7029,0.51174223,1548,238.20313,3.7037036,9
CONCÓN,2012,1364.2445,0.45349652,1489,241.36795,2.9411764,9
CONCÓN,2013,1423.4932,0.62139428,1450,212.52602,5.9405942,21
CONCÓN,2014,1846.2231,0.43899879,1380,236.38954,10,21
CONCÓN,2015,2054.3296,0.53730804,1299,237.47475,11.711712,9
CONCÓN,2016,2171.1284,0.6190868,1347,244.59346,14.655172,9
JUAN FERNÁNDEZ,2007,1311.8,0,140,225.40062,0,
JUAN FERNÁNDEZ,2008,1345.7483,0,143,206.77615,0,
JUAN FERNÁNDEZ,2010,2382.2246,0,98,234.44077,0,0
JUAN FERNÁNDEZ,2011,1876.8016,0,126,261.18555,7.6923075,13
JUAN FERNÁNDEZ,2012,1822.6172,0,128,248.4525,13.333333,13
JUAN FERNÁNDEZ,2013,2400.1812,0,116,273.74249,13.333333,12
JUAN FERNÁNDEZ,2014,2293.6133,0,150,242.063,11.111111,12
JUAN FERNÁNDEZ,2015,2470.8037,0,163,231.93231,5,9
JUAN FERNÁNDEZ,2016,3017.988,0,166,242.07692,9.090909,9
PUCHUNCAVÍ,2007,644.39648,0.75932944,2802,228.18765,2.6666667,17
PUCHUNCAVÍ,2008,698.00146,0.73127788,2685,251.11145,5.9602647,17
PUCHUNCAVÍ,2009,803.43872,0.70849091,2530,245.30898,5.7291665,17
PUCHUNCAVÍ,2010,963.84949,0.59105408,2425,244.98364,5.978261,14
PUCHUNCAVÍ,2011,1015.6561,0.75644439,2370,239.21625,8.125,14
PUCHUNCAVÍ,2012,1039.2443,0.81263673,2416,251.03264,8.4337349,14
PUCHUNCAVÍ,2013,1148.8018,0.8173781,2427,243.65546,9.1463413,17
PUCHUNCAVÍ,2014,1216.9507,1,2455,258.41464,11.60221,17
PUCHUNCAVÍ,2015,1302.9785,1,2463,249.36447,14.20765,15
PUCHUNCAVÍ,2016,1390.8289,1,2519,242.53188,21.621622,15
